ACCOUNTANT DATA PACKAGE - UK CAPITAL GAINS TAX
Client Tax Year,2022
Report Generated,06/08/2025
Jurisdiction,UK
Data Source,EasyCryptoTax Platform

EXECUTIVE SUMMARY
Total Transactions,4
Cryptocurrency Purchases,1
Cryptocurrency Disposals,3
Fiat Withdrawals (Non-Taxable),0
Taxable Events Generated,3
Total Capital Gains,£2016.68
Total Capital Losses,£0.00
Net Capital Gain/Loss,£2016.68
Annual CGT Allowance,£12300.00
Taxable Gains (After Allowance),£0.00
Estimated Tax Liability,£0.00

SECTION 1: TAXABLE CRYPTOCURRENCY DISPOSALS
Asset,Disposal Date,Disposal Time,Quantity Disposed,Disposal Proceeds (GBP),Acquisition Date,Acquisition Time,Cost Basis (GBP),Gain/Loss (GBP),Holding Period (Days),CGT Rate,Tax Due (GBP),Exchange,Method
XRP,14/01/2022,00:00:00,100.00000000,56.91,03/05/2020,01:00:00,17.45,39.46,621,10%/20%,0.00,coinbase_uk,FIFO
XRP,16/03/2022,00:00:00,100.00000000,58.71,03/05/2020,01:00:00,17.53,41.18,682,10%/20%,0.00,coinbase_uk,FIFO
XRP,16/03/2022,00:00:00,4700.00000000,2759.91,07/07/2020,12:00:00,823.87,1936.04,682,10%/20%,0.00,coinbase_uk,FIFO

SECTION 2: TAX CALCULATION SUMMARY
Description,Amount (GBP)
Gross Capital Gains,2016.68
Capital Losses,0.00
Net Capital Gains,2016.68
Annual CGT Allowance (2022),12300.00
Taxable Gains After Allowance,0.00
Basic Rate CGT (10%),0.00
Higher Rate CGT (20%),0.00
Total CGT Liability,0.00

SECTION 3: COMPLETE TRANSACTION AUDIT TRAIL
Transaction ID,Date,Time,Type,Asset,Quantity,Price per Unit (GBP),Total Value (GBP),Exchange,Tax Relevance,Notes
TX-1,03/05/2020,01:00:00,BUY,XRP,100.00000000,0.17,17.45,coinbase_uk,Cost Basis,"Establishes cost basis for future CGT calculations"
TX-2,14/01/2022,00:00:00,SELL,XRP,100.00000000,0.57,56.91,coinbase_uk,Taxable Disposal,"Cryptocurrency disposal - creates taxable event"
TX-3,16/03/2022,00:00:00,SELL,XRP,100.00000000,0.59,58.71,coinbase_uk,Taxable Disposal,"Cryptocurrency disposal - creates taxable event"
TX-4,16/03/2022,00:00:00,SELL,XRP,4700.00000000,0.59,2759.91,coinbase_uk,Taxable Disposal,"Cryptocurrency disposal - creates taxable event"

SECTION 4: ACCOUNTANT NOTES & COMPLIANCE
UK Tax Compliance Notes
Accounting Method,First In First Out (FIFO)
Same Day Rule Applied,YES (if applicable)
Bed & Breakfast Rule Applied,YES (30-day rule if applicable)
CGT Annual Allowance 2022,£12,300
Basic Rate CGT Threshold,£37700 total income
CGT Rates,10% (basic) / 20% (higher)

Professional Recommendations
Action Required,"Include in Self Assessment CGT pages"
Supporting Documents,"Maintain exchange records and transaction evidence"
Tax Due Date,"31 January following tax year end"
Payment Method,"Online Self Assessment or direct to HMRC"
Data Verification,"Recommend independent verification of exchange records"
Specialist Advice,"Consider crypto tax specialist for complex transactions"

SECTION 5: SUPPORTING INFORMATION
Calculation Software,EasyCryptoTax Platform
Data Source,Client Exchange Export (4 transactions)
Methodology,HMRC-compliant FIFO cost basis matching
Currency,All amounts in GBP
Rounding,2 decimal places for currency amounts
Last Updated,2025-08-06T20:50:15.456Z

DISCLAIMER
"This data package is generated by automated software and should be reviewed by a qualified accountant before submission to HMRC. The calculations are based on available transaction data and standard UK tax rules. Complex transactions may require specialist tax advice."
