Date,Transaction_Type,Currency,Amount_GBP,Amount_Crypto,Description
2025-05-12,Received,XRP,36.85,20.00,Received XRP
2025-05-12,Withdrawal,GBP,-4.00,-4.00,Withdrew funds
2025-05-12,Withdrawal,GBP,-5.00,-5.00,Withdrew funds
2025-05-12,Sold,XLM,-10.00,-42.33,Sold XLM
2025-01-27,Withdrawal,GBP,-34.31,-34.31,Withdrew funds
2025-01-27,Sold,BTC,-31.93,-0.000408,Sold BTC
2025-01-03,Withdrawal,GBP,-590.00,-590.00,Withdrew funds
2025-01-03,Sold,BTC,-600.00,-0.00778,Sold BTC
2025-01-03,Withdrawal,GBP,-480.00,-480.00,Withdrew funds
2025-01-03,Withdrawal,GBP,-10.00,-10.00,Withdrew funds
2025-01-03,Sold,BTC,-500.00,-0.00648,Sold BTC
2024-12-13,Withdrawal,GBP,-9.00,-9.00,Withdrew funds
2024-12-13,Sold,BTC,-10.00,-0.000126,Sold BTC
2024-04-29,Withdrawal,GBP,-2.00,-2.00,Withdrew funds
2024-03-18,Received,BTC,780.83,0.0148,Received BTC
2023-01-19,Withdrawal,GBP,-315.00,-315.00,Withdrew funds
2023-01-19,Sold,LINK,-322.23,-61.73,Sold LINK
2023-01-19,Sold,LINK,-322.23,317.43,Sold LINK
2022-12-06,Withdrawal,GBP,-345.00,-345.00,Withdrew funds
2022-12-06,Sold,LINK,-350.00,-60.54,Sold LINK
2022-12-06,Sold,LINK,-350.00,344.78,Sold LINK
2022-03-16,Sent,XRP,-2759.91,-4700.00,Sent XRP
2022-03-16,Sent,XRP,-58.71,-100.00,Sent XRP
2022-01-14,Sent,XRP,-56.91,-100.00,Sent XRP
2020-12-28,Received,XLM,1.49,13.45,Received XLM
2020-12-28,Received,XLM,1.49,13.45,Received XLM
2020-12-28,Received,XLM,1.49,13.44,Received XLM
2020-12-28,Received,XLM,1.49,13.44,Received XLM
2020-12-28,Received,XLM,1.50,13.47,Received XLM
2020-12-28,Received,MKR,1.49,0.00343,Received MKR
2020-12-28,Received,MKR,1.49,0.00343,Received MKR
2020-12-28,Received,MKR,1.50,0.00344,Received MKR
2020-12-28,Received,COMP,2.24,0.0218,Received COMP
2020-12-28,Received,COMP,2.24,0.0218,Received COMP
2020-12-28,Received,COMP,2.23,0.0217,Received COMP
2020-12-28,Received,CGLD,1.49,1.34,Received CGLD
2020-12-28,Received,CGLD,1.48,1.33,Received CGLD
2020-12-28,Received,CGLD,1.48,1.33,Received CGLD
2020-12-28,Received,GRT,0.74,2.47,Received GRT
2020-12-28,Received,GRT,0.74,2.47,Received GRT
2020-12-28,Received,GRT,0.74,2.47,Received GRT
2020-12-27,Sent,XRP,-20.39,-100.00,Sent XRP
2020-12-21,Sent,BTC,-65.45,-0.00378,Sent BTC
2020-12-20,Received,BTC,66.06,0.00378,Received BTC
2020-12-20,Sent,BTC,-106.13,-0.00609,Sent BTC
2020-12-20,Sent,BTC,-10.15,-0.000582,Sent BTC
2020-12-10,Received,BTC,91.79,0.00667,Received BTC
2020-11-16,Converted,LINK,95.74,10.00,Converted to LINK
2020-11-16,Converted,BTC,-96.98,-0.00761,Converted BTC
2020-11-16,Received,BTC,96.39,0.00761,Received BTC
2020-10-19,Sent,BTC,-140.00,-0.0155,Sent BTC
2020-10-19,Received,BTC,140.00,0.0155,Received BTC
2020-09-17,Converted,LINK,101.27,12.26,Converted to LINK
2020-09-17,Converted,BTC,-102.75,-0.0123,Converted BTC
2020-09-17,Received,BTC,96.38,0.0115,Received BTC
2020-07-09,Bought,XRP,838.25,5000.00,Bought XRP
2020-07-04,Sent,XRP,-1666.09,-11741.09,Sent XRP
2020-07-04,Bought,XRP,1000.00,6741.09,Bought XRP
2020-05-26,Bought,LINK,331.34,100.00,Bought LINK
2020-05-26,Bought,XRP,837.12,5000.00,Bought XRP
2020-05-05,Sent,ETC,-145.41,-25.12,Sent ETC
2020-05-04,Sent,BTC,-2127.38,-0.303,Sent BTC
2020-05-04,Sent,BAT,-28.73,-193.00,Sent BAT
2020-05-04,Sent,XLM,-294.00,-5012.23,Sent XLM
2020-05-04,Sent,LTC,-194.03,-5.03,Sent LTC
2020-05-04,Sent,ETH,-533.69,-3.15,Sent ETH
2020-05-04,Sent,XRP,-1300.55,-7342.26,Sent XRP
2020-05-04,Sent,XRP,-177.13,-1000.00,Sent XRP
2020-05-04,Sent,BTC,-718.60,-0.10,Sent BTC
2020-05-03,Received,BTC,1331.52,0.188,Received BTC
2020-05-03,Received,BTC,1420.45,0.20,Received BTC
